index,name,lyric
,cana-rakibi-handan-edersin,"['Cânâ rakibi handân edersin', 'Ben bî nevâyı giryan edersin', 'Bigânelerle ünsiyet etme', 'Bana cihânı zindân edersin', '']"
,canin-isterse,"['Ne oldu söyle ne oldu aşkımıza', 'Çok çabuk yenildik seninle ayrılığa', 'Ne oldu söyle ne oldu aşkımıza', 'Herşey yalanmış boşa kopmuş fırtına', 'Arayıpta sordun mu', 'Sorupta buldun mu', 'Hani suçlu nerede', 'Sonu yok baştan belliydi', 'Seni sevmek bir delilikti', 'Ne yapsam boşuna', 'Şimdi de bana eyvallah', 'Seninle olmak imkansız', 'Anlamadın sevgimi canın isterse']"
,cemile,"['Aşkından yüreğim', 'Talan Cemile', 'Naz usandırır derler', 'Yalan Cemile', 'Bin cefa çektirir', 'Sevdan Cemile', 'Of demem, Allah derim', 'İnan Cemile', ' Cemile, Cemile, Cemile', 'Bak işte düştüm eline', 'İnsaf eyle Cemile', 'Seni gidi şeytan seni fettan']"
,camlar-arasindan-suzulurken-mehtab,"['Çamlar arasından süzülürken mehtap, neydi o akşam adalar', 'Hâlâ titriyorum o geceyi anıp, neydi o sesler, şarkılar', 'Rüzgâr, deniz, mehtap inliyordu âlem, neydi o akşam adalar', 'Geçti geçti yıllar, gönüllerde kalan hatıralarla, şarkılar', '']"
,capkin-gel-gezelim-el-ele,"['Gel gezelim el ele', 'Aşkımız gelsin dile', 'Elinden zehir olsa', 'İçerim bile bile', ' Bakışların ne hoştur çapkın', 'Gülüşlerin ne hoştur çapkın', 'Bekliyorum hasretle seni', 'Gelişlerin ne hoştur çapkın', ' Gel güzelim gel bana', 'Hasretim hasret sana', 'Elinden zehir olsa', 'İçerim kana kana', ' Bakışların ne hoştur çapkın', 'Gülüşlerin ne hoştur çapkın', 'Bekliyorum hasretle seni', 'Gelişlerin ne hoştur çapkın']"
,catilmis-kaslarinla,"['Çatılmış kaşlarınla kime düşman gibisin', 'Gözünde yaşlarla belli pişman gibisin', ' Nazarmı değdi bize düştük bu hale neden', 'Kaderimiz böyleymiş ayrıldık istemeden', ' Çağırıyormuş gibi kulağımda hep sesin', 'Ölsem bile unutmam şu mahsun kalbimdesin', ' Alamaz hiç kimse bil kalbimdeki yerini', 'Rastlarsan bir gün bana gizleme gözlerini']"
,cikar-yucelerden-haber-sorarim,"['Çıkar yücelerden haber sorarım', 'Solarken dağların gümüş yaldızı', 'Bilmem neredeyim neyi ararım', 'Uyanır içimde derin bir sızı', ' Derim neden yoksul gezdiğim bağlar', 'Yok mu bu ellerde benimle ağlar', 'Sesime ses verin dumanlı dağlar', 'Derdime eş olur çoban yıldızı', ' Akşam olur gölgelenir kayalar', 'Sürüler çekilir uyur ovalar', 'İçli kaval dertlerimi oyalar', 'Uzaktan göz kırpar akşam yıldızı']"
,cigan-cocuklari,"['Çigan çocukları..', 'Bir gün, kuru yapraklar üstünde', 'Siyah adımlarınla sen,', 'Avuçlarında acı yeşil vefasızlık, geleceksin.', 'Sonu olmayan bir yolda.', 'Tek yapraklı ağacın buruk gölgesinde bekleyeceğim.', ' Saçlarında riya, nefesin üşütecek tırnaklarımı', 'Çigan çocuklar çalı çırpı yakacak karşı tepede.', ' Bir köpek uluması kurşuni', 'Sonsuzdaki türkü sesi buğulu', 'Ağlayacaksın, yanakların kuru..', 'Eski yalanlarını kirpiklerine dizeceksin', 'Nemli riya, yaş gerçek.', ' Bir gün kuru yapraklara basarak, boş', 'Bana döneceksin siyah adımlarınla', 'O vadide bekleyeceğim.', 'Çigan çocuklar böğürtlen toplarken', 'Bir kız acı şarkılar söyleyecek derinden', '']"
,cini-cini,"['Oy çin çini çin çini lo', 'Öpem ağzın içini', 'Öperken ısırmışam lo', 'Bağışla sen suçumi', 'Çin çini gözün kara', 'Açtın kalbimde yara', 'Eller seni görmeden lo', 'Gel bana ara sıra', 'Oy çin çini çin çini', 'Yerim ağzın içini', 'Gündüz gelme gece gel lo', 'Gönlümün güvercini çin çini']"
,damarimda-kanimsin,"['Sen uzaklarda değil', 'Damarımda kanımsın', 'Ben sensiz yaşayamam', 'Hayatımsın canımsın', ' İste kölen olayım', 'İstersen öldür beni', 'Başkasını seversen', ' Bil ki yaşatmam seni', 'İnan yaşatmam seni', ' Bilmeden kırdım seni', 'Bilerek asla olmaz', 'Ne olur affet beni', 'Hatasız insan olmaz']"
,dargin-ayrilmayalim,"['Dargın ayrılmayalım diye koştum sana dün', 'Gözlerim vagonları üzgün üzgün, dolaştı üzgün üzgün', ' Çıkmadın pencereye ne göründün ne güldün', 'Gözlerim vagonları üzgün üzgün, dolaştı üzgün üzgün', ' Yolcular arasında aradım seni bir bir', 'Elimde soldu yazık, çiçeklerimle mendil çiçeklerimle mendil', ' Getirmiştim sana bir demet beyaz karanfil', 'Elimde soldu yazık, çiçeklerimle mendil çiçeklerimle mendil']"
,darildin-mi-gulum-bana,"['Darıldın mı gülüm bana', 'Hiç bakmıyorsun bu yana', 'Darıldıysan barışalım', 'Kumru gibi koklaşalım', 'Esmerim güzelim tuti dillim', 'Ben yanıyorum çok seviyorum', 'Ben yanıyorum aman allah çok seviyorum', 'Her zaman üzersin beni', 'Ah yaramaz çapkın seni', 'Benim hiç günahım yoktu', 'Baştan sen çıkardın beni', 'Esmerim güzelim tuti dillim', 'Ben yanıyorum çok seviyorum', 'Ben yanıyorum aman allah çok seviyorum']"
,davet,"['Gel artık gel gel sensiz günler geçmiyor', 'Buna ömür yetmiyor kalp ağrım hiç bitmiyor', 'Sevgilim gel güzelim gel sensiz günler geçmiyor', 'Beklerim seni her gün gelirsin diye bir gün', 'Hani ettiğin yemin gel artık gel gel', 'Sevgilim gel güzelim gel sensiz günler geçmiyor', 'Gel artık gel gel...', '']"
,dediler-zamanla-hep-azalirmis-sevgi,"['Dediler zamanla hep azalırmış sevgiler ', 'Olsun bana seninle geçen yıllarım yeter ', 'Nasıl olsa herşeyin zamanla sonu yok mu ', 'Ömür dediğimiz şey küsecek kadar çok mu ', 'Dediler ki gün gelir unuturmuş gidenler ', 'Olsun bana aşk dolu geçen yıllarım yeter ', 'Nasıl olsa herşeyin zamanla sonu yok mu ', 'Ömür dediğimiz şey küsecek kadar çok mu', '']"
,derdimden-anlayan-yok,"['Derdimden anlayan yok halin nedir dien yok', 'Bu böyle yaşamak mı', 'Sanki benim canım yok ağlamadık günüm yok', ""Benim Allah'tan başka elimden tutanım yok"", 'Ağlamadık günüm yok', ' Nasibim ağlamak mı bana gülmek yasak mı', 'Bu böyle yaşamak mı', 'Sanki benim canım yok ağlamadık günüm yok', ""Benim Allah'tan başka elimden tutanım yok"", 'Ağlamadık günüm yok']"
,derdimi-bilen-yok,"['Derdimi bilen çok,derman veren yok', 'Genç yaşımda gurbet ellere düştüm', 'Saçlarım ağardı bahtım karardı', 'Senin için dilden dillere düştüm', ' Anladım çare yok aşk yarasına', 'Merhametin yokmuş sevgilim bana', 'Öylesine hasret kaldımki sana', 'Yüzünü görmek için yollara düştüm', 'Sana kavuşmak için yollara düştüm...']"
,derdimi-ummana-doktum,"['Derdimi ummana döktüm asumana inledim', 'Yare de ağyare de hal-i derunum söyledim', 'Aşina yok derdime ben söyledim ben dinledim', 'Gözlerim yollarda kaldı gelmedin çok bekledim', '']"
,derman-kar-eylemez,"['Derman kar eylemez ferman dinlemez', 'Dertli gönül deli gönül', 'Derdinden ölse de yine dinlemez', 'Yaralı bereli gönlüm', ' O bir gözyaşıdır çağlar derinden', 'Ses vermez bir lahza bin kederinden', 'Kırılmış gibidir ince yerinden', 'Hep sevdi seveni gönül', ' Nasibi hicranmış bahtı avare', 'Neyesin derdini desin de yare', 'Yazılmış alnına böyle ne çare', 'Ezelden çileli gönül']"
,dert-ortagimsin-benim,"['Seni düşündüğüm an', 'İçim titriyor inan', 'Bir gün kavuşacağız', 'Fakat söyle ne zaman?', ' Seni ömrümce sevdim', 'Her şeye boyun eğdim', 'Senden başka kimsem yok', 'Dert ortağımsın benim', ' Yıllardır senden uzak', 'Sevgisiz kaldı kalbim', 'Şimdi artık kavuştuk', 'Mutlu musun sevgilim?', ' Seni ömrümce sevdim', 'Her şeye boyun eğdim', 'Senden başka kimsem yok', 'Dert ortağımsın benim']"
,dertli,"['Dertli ne ağlayıp gezersin burda', 'Ağlatırsa mevlam yine güldürür', 'Nice aşık kondu göçtü buradan', 'Ağlatırsa mevlam yine güldürür', ' Sevdaya salma şu garip başını', 'Akıtır gözünden kanlı yaşını', 'Kerimdir onarır kulun işini', 'Ağlatırsa mevlam yine güldürür', '']"
,dertliyim-ruhuma,"['Dertliyim ruhuma hicrânımı sardım da yine', 'İnlerim şimdi uzaklarda solan gün gibiyim', 'Gecenin rengini kattım içimin matemine', 'Sönen ümid ile günden güne ölgün gibiyim', ' Bahtımın yıldızı sanmıştım seni', 'Sensiz karanlıktır her günüm Leyla,', 'Ayrılık Mecnun`a döndürdü beni', 'Dertliyim yürekten, üzgünüm Leyla', ' Sevda yaman bir çile çekenler düşer dile', 'Ayrılık ölüm gibi giden gelmiyor Leyla', 'Gülüm yaprağım soldu gönlüme hazân doldu', 'Bir ömür harâb oldu onu bilmiyor Leyla']"
,deva-bulmayacak-mi,"['Devâ bulmayacak mı kalbimdeki bu yara', 'Şu çileli gönlümde şimdi herşey kapkara', 'Gönül vedâ ediyor tatlı hatıralara', 'Şu çileli gönlümde şimdi herşey kapkara', '']"
,dil-harab-i-askimin-sesi,"['Dîl harâb-ı aşkınım sensin sebep berbâdıma', 'Bir teselli ver gelip bâri dîl-i naşâdıma', 'Taş mıdır bağrın ki gelmezsin benim imdâdıma', 'Dîni ayrı kâfir olsa rahmeder feryâdıma', '']"
,dil-sad-olacak-diye,"['Dilşad olacak diye kaç yıl avuttu felek', 'Saçıma karlar yağmış boşuna yaz beklemek', 'Ne bülbül dile geldi ne de açtı bir çiçek', 'Saçıma karlar yağmış boşuna yaz beklemek', '']"
,dile-benden-ne-dilersen,"['Gözlerimde hatıran', 'Kulağımda kahkahan', 'Senden haber sanıyorum', 'Kapım çalındığı an', ' Dile benden ne dilersen', 'Dile benden ne dilersen', 'Seviyorum seni ben', 'Karşılık beklemeden', ' İnanmazdım eskiden', 'Ne sevgiye ne aşka', 'Şimdi ne günahım var', 'Seni sevmekten başka', ' Dile benden ne dilersen', 'Dile benden ne dilersen', 'Seviyorum seni ben', 'Karşılık beklemeden']"
,dile-dustum,"['Dile düştüm senin yüzünden yine', 'Bana çatılmayan kaşlar kalmadı', 'Üstelik bu acı sitemlerine', 'Ağlayan gözümde yaşlar kalmadı', ' Dargınlık bir yandan eller bir yandan', 'Gel gör ki bıktırdı beni canımdan', 'Seni sevdim diye dosttan düşmandan', 'Bize atılmadık taşlar kalmadı', '']"
,dilek-cesmesi,"['bu bir dilek cesmesi dediler bana', 'oturdum yosun tutmus islak tasina', 'anlattim neler geldi dertli basima', 'uzattim ellerimi seni diledim', ' bir bilsen seni nasil yurekten sevdim', 'bu bedende can degil candan oteydin', 'gece gunduz demedim dualar ettim', 'uzattim ellerimi seni diledim', ' kucucuk bir umitsin icimde benim', 'sen ey dilek cesmesi duy beni dedim', '']"
,dost-bildiklerim,"['Sanırdım gündüzdü onlarla gecem', 'İçimde ümitti dost bildiklerim', 'Ne zaman yıkılıp yere düştüysem', 'Bırakıp da gitti dost bildiklerim', ' Nerde o sözlere kandığım günler', 'Her gülen yüzü dost sandığım günler', 'Acıdan kahrolup yandığım günler', 'Terk edipde gitti dost bildiklerim', ' Korkar oldum bana dostum diyenden', 'Yoksa yok olandan, varsa yiyenden', 'Ne onlardan eser kaldı, ne de benden.', 'Beni benden çaldı, dost bildiklerim', ' Meydana çıkalı asıl cehreler', 'Aydınlanmaz oldu artık geceler', 'Yalanlar tükendi, indi maskeler', 'Beni benden çaldı, dost bildiklerim']"
,dudaklarinda-arzu,"['Dudaklarında arzu kollarında yanlız ben', 'Sana bakan bir çift göz ben olayım sevgilim', 'Gününe gecene eş gözünde yaş yine ben olayım', 'Sana aşık yanlız ben ben olayım sevgilim', ' Bütün ömür boyunca kalbinde sevgilin ben', 'Benliğinde yanlız ben ben olayım sevgilim', 'Gününe gecene eş gözünde yaş yine ben', 'Sana aşık yanlız ben ben olayım sevgilim', '']"
,duydum-ki-unutmussun,"['Duydum ki unutmussun gözlerimin rengini', 'Yazik olmuş o gözlerden sana akan yaslara', 'Bir zamanlar sevginle ateslenen basimi ', 'Dizlerinin yerine dayasaydim taslara', ' Hani bendim yedi renk hani tende can idim', 'Hani gunduz hayalin geceler ruyan idim', 'Demek ki senin icin ask degil yalan idim', 'Acirim heder olan o en guzel yillara', '']"
,du-cesmimden-gitmez-askin-hayali,"['Du ceşmimden gitmez askın hayali', 'Kıblem oldu bana dostun cemali', 'Rahi aska suvar olup gitmeye', 'Ey efendim nice bilsin bu hali', 'Ben o yarin bendesiyem, bende-i ufkendesiyem', 'Bahçesinde bülbüliyem, canım güldür cemali', '']"
,dunya-meyhane,"['Böyle sevda olmaz olsun', 'Olan oldu bari hepimize yarasın', 'Patron alttan adama kebabı yollasın', 'İsterse hesabı peşin alsın', 'Hani ölümlü dünya', 'Her ne kadar para sadece dert vermişsede', 'Onu burada yine tekbir ağlarım', 'Olan oldu bir defa hepimize yarasın', 'Patron alttan adama kebabı yollasın', 'İsterse hesabı peşin alsın', 'Köşede takılan olsada', 'Yinede karakolda bitmesin', '']"
,dunya-yansa-yorganim-yok-icinde,"['Şeytan dürttü hislerime tav oldum', 'Tav oldum tav oldum aman', ' Benliğimden taştım bu gün lav oldum', 'Lav oldum lav oldum aman', 'Canım çekti bir güzele av oldum', 'Düşünmedim yarınımı, sonumu', 'Ellerimle çizdim kader yolumu', 'Yolumu yolumu aman', ' Dünya yansa yorganım yok içinde', 'Bin derdim var hepsi başka biçimde', 'Biçimde biçimde aman', ' Kırk yılda bir gönlüm bana sev dedi', 'Sev dedi sev dedi aman', '']"
,ekvator-tesbihim,"['Ekvator tesbihim...', 'Sonbahar bakışlarında yeşerir, yeşeriverir aşk', 'Nisan defnesinde dal gibi', 'Geçmişin karanlıklarında ürperir, ürperiverir kin', 'Gözbebeklerimde hal gibi', ' Gönlüme kilit vurdum paslı altından der, deyiverir Gözlerin', 'Dudakların çal gibi.', 'Çocukluğumun kış odasında, yorgun şiltede boynum', 'Tedirgin rüyalarımda bugünler masal gibi.', ' Ya o gözler? ah o gözler...', 'Arısı sen, peteği ben', 'Acı buruk bal gibi', ' Ayrılalım bitsin artık', 'Haykıran sen, sızlanan ben', 'Vermem derken, deli gönlüm al diyor.', 'En acı gerçekleriyle hayat', 'Paslı çivilerde gözbebeklerimiz', '']"
,ela-gozlerine-kurban-oldugum,"['Ela gözlerine kurban olduğum', 'Yüzüne bakmaya doyamadım ben', 'İbret için gelmiş derler cihane', 'Noktadır benlerin sayamadım ben', ' Ayamadım ben doyamadım ben', 'Noktadır benlerin sayamadım ben', ' Aşkın ateşidir sinemi yakan', 'Lütfuna erer mi cevrini çeken', 'Kolların boynuma dolanmış iken', 'Seni öpmelere kıyamadım ben', ' Ayamadım ben doyamadım ben', 'Noktadır benlerin sayamadım ben']"
,ela-gozlerini-sevdigim,"['Ela gözlerini sevdiğim dilber,', 'Gidiyorum sizin olsun buralar.', 'Ah ettikçe kara bağrım ezilir,', 'Melhem almaz sinemdeki yaralar.', ' Şahin küçük ama vermez avını', 'Sen erittin yüreğimin yağını', 'Sarayıdım yari usul boyunu', 'İsterlerse kollarımı kıralar', ' Karacoğlan der ki halımız nice', 'O yarin sevdası gönülde yüce', 'O yari saraydım bari bir gece', 'İsterlerse kefenime saralar']"
,elbet-birgun-bulusacagiz,"['Elbet bir gün buluşacağız,', 'Bu böyle yarım kalmayacak', 'İkimizinde saçları ak,', 'Öyle durup bakışacağız…', ' Belki bir deniz kenarında,', 'El ele mâziyi konuşacağız..', 'Benim içimde yanan ateş var,', 'Sevgilim, ne zaman buluşacağız..', ' Belki bir gemi güvertesinde,', 'Sen beni unutmuş için kupkuru..', 'Benim gönlümde hâlâ o arzu,', 'Sevgilim, ne zaman kavuşacağız..']"
,elbet-gonullerde-sabah-olacak,"['Elbet gönüllerde sabah olacak ', 'Bir gün ağlayanlar ferah bulacak ', 'Unutma ki benimsin ', 'Biricik sevgilimsin ', ' Sensiz bil ki tadı yok baharın da kışın da ', 'Ümidim şimdi pek çok, o tatlı bakışında ', 'Unutma ki benimsin ', 'Biricik sevgilimsin ', '   Beste : Sadettin Kaynak ', 'Güfte : Bilinmiyor ', 'Makam : Nevâ bûselik ', 'Usûl : Sofyan']"
,eller-ne-derse-desin,"['Eller ne derse desin,', 'İnan ilk sevgilimsin.', 'Bekliyorum yillardir,', 'Ne zaman geleceksin?', ' Ruhumsun askimsin sen,', 'Heryerde senin sesin.', 'Bekliyorum yillardir,', 'Ne zaman geleceksin?', ' Unutamam buseni,', 'Sevgilim sen nerdesin?', 'Bekliyorum yillardir,', 'Ne zaman geleceksin?']"
,elveda,"['Elveda geçti artık güzel günler', 'Kalbimi sardı hüzünler', 'Elveda elveda ey sevgili sana', 'Bitti aşkım söndü ruhum', 'Hayat zindan oldu bana', ' Nice günler yalvardım yalvardım yalvardım', 'Ağladım kana kana', 'Elveda elveda sevgili sana', 'Bitti aşkım,söndü ruhum', 'Nayat zindan oldu bana.']"
,enginde-yavas-yavas,"['Enginde yavaş yavaş günün minesi soldu', 'Derdim bana arkadaş bugün de akşam oldu', 'Gölgeler indi suya kuşlar vardı uykuya', 'Gurbeti duya duya bugün de akşam oldu', ' Su uyur fısıldaşır gider yare ulaşır', 'Yolcu yolda yaraşır bugün de akşam oldu', '']"
,entarisi-ala-benziyor,"['Entarisi ala benziyor', 'Şeftalisi bala benziyor', 'Benim yarim bana benziyor', 'Olamaz ne çare o nişanlıdır', 'Kaytan bıyıklı delikanlıdır', ' Şekerli misin vay vay', 'Kaymaklı mısın vay vay', 'Sen de benim gibi', ' Sevdalı mısın vay vay', '']"
,erkilet-guzeli-baglar-bozuyor,"['Erkilet güzeli bağlar bozuyor', 'Kirpikleri kalem olmuş yazıyor', ' Tek tek basaraktan', 'Bade süzerekten', 'İnci dizerekten', 'Gel canım gel amman', ' Cevizin yaprağı dal arasında', 'Severler güzeli bağ arasında', ' Tek tek basaraktan', '']"
,eski-dost-dusman-olmaz,"['Seviyorum demiştin hem de yeminle', 'Söyle kalbin acep şimdi kiminle ?', 'Seviyorum demiştin hem de yeminle', 'Söyle gönlün acep şimdi kiminle ?', ' Aşkın çiçeği solmaz', 'Çilesiz ömür dolmaz', 'Sevgilim barışalım', 'Eski dost düşman olmaz', ' Herkesi kendine dost olur sanma', 'Bu yalan dünyadır, sakın aldanma', ' Aşkın çiçeği solmaz', 'Çilesiz ömür dolmaz', 'Sevgilim barışalım', 'Eski dost düşman olmaz']"
,eskimeyen-dost,"['Ne söylesen sen haklısın, aylar varki görülmedik', 'Bir köşede oturupta, bir kadehi bölüşmedik', 'Kim ayırdı bizi bizden, kadere dur diyemedik', 'Ne yazık ki o günlerin değerini bilemedik', '  Eski dost düşman olmaz deyipte sitem etme', 'Ayrılığın yükünü yalnız bana yükleme', 'Ne zaman gelirsen gel başıma tac olursun', 'Sen benim eski değil eskimeyen dostumsun', '  Yollarımız ayrı ayrı kalplerimiz bir olsa da', 'Herşey seni hatırlatır kurumuş bir gül olsa da', 'Kim ayırdı bizi bizden, kadere dur diyemedik', 'Ne yazık ki o günlerin değerini bilemedik']"
,esmerim,"['Esmerim biçim biçim', 'Olurum esmer için', 'Alem bana düşmandır', 'Esmer sevdigim için oy', ' Hele loy loy loy kibar yarim esmerim oy', 'Hele loy loy loy güzel yarim esmerim', ' Esmer bugün ağlamış', 'Yüreğine daglamış', 'Kara kaşın üstüne', 'Siyah pusi bağlamış oy', '']"
,ey-bud-i-nev-eda,"['Ey bud-i nev eda olmusum muptela', 'Asikim ben sana iltifat et bana', 'Yar yar iltifat et bana asikim ben sana', ' Gordugumden beri olmusum serseri', 'Bendenem ey peri iltifat et bana', 'Yar yar iltifat et bana asikim ben sana', ' Hasili bunca dem ben senin bendenem', 'Gel gel gonca fem iltifat et bana', 'Yar yar iltifat et bana asikim ben sana']"
,ey-cehri-sitemger,"['Ey çerh-i sitemger dil-i nalana dokunma', 'Hicr alemidir ettiğim efgana dokunma', 'Ey tiğr-i elem yareledin cismimi bari', 'Cananıma nezr eylediğim\ufeff cana dokunma', '']"
,ey-gonca-acil-zevkini-sur-fasl-i-baharin,"[""Ey gonca acil zevk'mi sur fasl-ı baharın"", 'Ben bulbuluyum sen gülüsün bağ-ı mesarın', 'Cus eyle nevay-i dilim gamlı hezarın', 'Ben bülbülüyüm sen gülüsün bağ-ı mesarın', '']"
,fakir-bir-sairim,"['Fakir bir şairim ama', 'Yereğim zengin a canım', 'Gönül ferman dinlemiyor', 'Serde gençlik var sultanım', ' Yağmur üstüme üstüme', 'Varsın yağsın küçük hanım', 'Ben yağmurdan yaştan değil', 'Aşkından sırılsıklamım', ' Bu gönül sevda pınar', 'Suyu sebildir a canım', 'Her geçen bir yudum aldı', 'Sen hepsini içi sultanım', ' Yağmur üstüme üstüme', 'Varsın yağsın küçük hanım', 'Ben yağmurdan yaştan değil', 'Aşkından sırılsıklamım']"
,fayda-yok-dostum,"['Bu sevgiye dustum neden', 'Kendimi unuttum ben', 'Hayatim sana verdim', 'Gencligim gitti elden', 'Simdi artik yalnizim', 'Aglamak neye yarar', 'Zalimin zulmu varsa', ""Sevenin Allah'i var"", 'Daha benden ayrilmadan', 'Baska sevgili buldun', 'Saadet hic belli olmaz', 'Simdi cok mesutmusun', 'Simdi artik yalnizim', 'Aglamak neye yarar', 'Zalimim Zulmu varsa', ""Garibin Alah'i var""]"
,feryad-ile-yad-eylerken-ben,"['Feryad ile yad eylerken ben seni her bar', 'Ey afet-i hunhar', '(Terennum) gel gel gel nazlı canan', 'Gel gel gel ey kas-i keman', 'Ter dil li ter dil li ter dil li te ne nen', 'Na te ne dir ney', 'Ey afet-i hunhar', 'Gönlüm yine mahzun', 'Şevkim emelim olsa da günden güne efzun', 'Gönlüm yine mahzun', 'Terennum...']"
,firkatin-aldi-butun-nesve-u-tabim-bu-gece,"['Firkatin aldı bütün neşve-i tabım bu gece', 'Ağlamaktan yine zehr oldu şarabım bu gece', 'Taştı peymane-i gam kalmadı şekvaya mecal', 'Mihverimde dolaşır leşker-i enduh-i melal', 'Hep seni aşkın ile böyle harabım bu gece', '']"
,gayri-dayanamam-bu-hasrete,"['Gayri dayanamam ben bu hasrete', 'Ya benide götür ya sende gitme', 'Ateş-i aşkınla canım canım canım yakma çıramı', 'Ya benide götür ya sende gitme', ' Yâr bağrıma vurdu kızgın dağları', 'Viran koydu mor sümbüllü bağları', 'Sevdiğim geçiyor gençlik çağları', 'Ah ya benide götür ya sende gitme', ' Akşam olunca yâr ellerim sızlar', 'Derdim çoktur değmeyin bana kızlar', 'Bu aşkıma şahit olsun yıldızlar', ""Yeter Allah'ım çektiğim ah yeter"", 'Bu ayrılık bana ölümden beter']"
,geceler,"['Zulmet le ayrılık bestesi yana', 'Beni düşünceye salar geçeler', ' Ruhumda titreyen son moruk ama', 'Neşeyi gün gibi çalan geceler', ' Geceler geceler', ' Yeter yeter artık çektiğim çile', 'Veda etmişiniz gelmez miydiler', '  Ufukta beliren ilk ışık ile', 'Ağarmış saçını yolan geceler', ' Geceler geceler']"
,geceler-yarim-oldu,"['Geceler yarim oldu (Aman aman garibem)', 'Ağlamak karım oldu (Anam anam garibem)', 'Her dertten yıkılmazdım (Aman aman garibem)', 'Sebebim zalim oldu (Anam anam garibem)', ' Bayram gelmiş neyime (Aman aman garibem)', 'Kan damlar yüreğime (Anam anam garibem)', 'Yaralarım sızlıyor (Aman aman garibem)', 'Doktor benim neyime (Anam anam garibem)', '']"
,gecenin-matemini,"['Gecenin matemini', 'Aşkıma örtüp sarayım.', 'Gittin artık,', 'Seni ben nerde bulup', 'Yalvarayım?', ' Şimdi ben tıpkı şifasız,', 'Kanayan bir yarayım.', ' Gittin artık,', 'Seni ben nerde bulup', 'Yalvarayım?']"
,gecsin-gunler-haftalar,"['Geçsin günler, haftalar, ', 'Aylar, mevsimler, yıllar... ', 'Zaman sanki bir rüzgar ', 've bir su gibi aksın... ', ' Sen gözlerimde bir renk, ', 'Kulaklarımda bir ses ', 've içimde bir nefes ', 'Olarak kalacaksın...', '']"
,gecti-omrum,"['Geçti ömrüm yine hâlâ ben o bin dert ileyim', 'Söyle dermanını ey sevgili aşkın bileyim', 'Böyle hicran eleminden nice bir inleyeyim', 'Söyle dermanını ey sevgili aşkın bileyim', '']"
,gel-de-guzelim-beni-sevindir,"['Gel de güzelim beni sevindir', 'Senin, kalbimde yerin derindir', 'Sensiz günlerim, gecelerimdir', 'Gel ruhuma gir kalbim senindir', 'Orada yazdan sıcak sevgimle', 'Her an gözlerin hayalimdedir', '']"
,gel-gitme-kadin,"['Gel gitme kadın ruhumu hicranına yakma', 'İnlet beni öldür beni ağyare bırakma', 'Karşında esirinim bana düşman gibi bakma', 'İnlet beni öldür beni ağyare bırakma', '']"
,gel-gitme-kalmasin-gozum-yollarda,"['Gel gitme kalmasın gözüm yollarda', 'Her taraf bu akşam sel fidan boylum', 'Çılgınca dağları saran bu karda', 'Geçilmez o çamlı bel fidan boylum', ' Bu akşam ben gibi sen de mahmursun', 'İlişme kolların boynumda dursun', 'Karanlık geceme yıldız olursun', 'Gel gitme bu akşam gel fidan boylum', '']"
,gel-gor-beni-ask-neyledi,"['Ben yürürüm yane yane', 'Aşk boyadı beni kane', 'Ne akilem ne divane', 'Gel gör beni aşk neyledi', ' Gel gör beni beni aşk neyledi', 'Derde giriftar eyledi', ' Gah eserim yeller gibi', 'Gah tozarım yollar gibi', ' Gah akarım seller gibi', '']"
,gel-guzelim-camlicaya-bu-gece,"[""Gel güzelim çamlıca'ya bu gece"", 'Gün doğmadan a canım sevişelim gizlice', 'Bülbüllerin efgaanını dinleyelim yan yana', 'Kumru gibi a canım sevişelim can cana', ' Çamlica aşk yuvasıdır', 'Zümrüt gibi a canım yemyesildir ovası', 'Gel gecmeden bu cağımız eğlenelim yan yana', 'Kumru gibi a canım sevişelim can cana', '']"
,gel-neredeysen,"['Yaşamanın tadı yok seni bir an görmesem,seni bir an sevmesem.', 'Yaşamanın tadı yok seni bir an görmesem,seni bir an sevmesem.', 'Görmesem, bilmesem,sevmesem', ' Özlemim, mutluluğum', 'Çıkıp gel neredeysen,neredeysen gel neredeysen', 'Özlemim, mutluluğum', 'Çıkıp gel neredeysen,neredeysen,sen neredeysen', ' Hıçkırığımı duy da,esen yellere uy da', 'Elini kalbine koy da gel neredeysen', 'Hıçkırığımı duy da,esen yellere uy da', 'Elini kalbine koy da gel neredeysen', ' Bakınca gözlerine varlığımı anlarım', 'Bakınca gözlerine varlığımı anlarım', 'Bütün hayallerimi', 'Seninle tamamlarım,tamamlarım,gel neredeysen', '']"
,gelince-gozgoze,"['Gelince göz göze biz', 'Bir hoş olur icimiz', 'Demeden tek kelime ,', 'Gülümseyip geçeriz .', 'Hoşlandım senden ,', 'Gel kacma benden .', 'O tatli tebessümler', 'Bana neler der neler', 'İnan ki her gülüşün', 'Beni bahtiyar eyler .', 'Hoşlandım senden', 'Gel kacma benden']"
,gelirsin-bir-gun-diye,"['Gelirsin bir gün diye bekledim , sana kandım', 'Kavuşmak ümidiyle , beyhude oyalandım', 'Hasretin ateşini bağrıma basıp yandım', 'Yalanmış hep sözlerin ,ah ne yazık', 'Ben aldandım , ben inandım', '']"
