index,name,lyric
,ahimi-hicranimi,"['Ahımı hicranımı', 'Sakladım sakladım', 'Sakladım gizli tuttum', ' Gönlümü yıllar yılı', 'Hayaliyle avuttum', 'Ah hayaliyle avuttum', ' O gençlik günlerimiz', 'Dönmez asla geriye', 'Dönmez asla geriye', ' Yazık ki dönse bile', 'O sevdayı unuttum', 'Ah o sevdayı unuttum']"
,aklimda-fikrimde-hep-sen-varsin,"['Aklımda fikrimde hep sen varsın', 'Sevdalı hülyalı gözlerin var', 'Sevmemek mümkün mü güzelim seni', 'Beni kahreden o gözlerin var', 'Aklımda sen fikrimde sen', 'Sevgimi nasıl söylesem', 'Sen benim tek tutkum son umudumsun', 'Beni kahreden o sözlerin var', 'Sevdan hep çileli serimdedir', 'Yerin kalbimde çok derindedir', 'Ne olur naz edip üzme beni', 'Nerde olsan gönlüm seninledir', 'Gönlüme bir girsen', 'Sevgimi bir bilsen', 'Hasreti bir silsen', 'Ne olurdu?', 'Gözlerin dost oldu hayalimle', 'Gönlümde en derin izlerin var', 'Sevgimi gel süsle gülüşünle', 'Kalbimde en güzel gizlerin var']"
,aksam-oldu-huzunlendim-ben-yine,"['Akşam oldu hüzünlendim ben yine', 'Hasret kaldım gözlerinin rengine', 'Gel mehtabım gel sevgilim gel yine', 'Hasret kaldım gözlerinin rengine', '']"
,aksam-olmadan-gel,"['Akşam olmadan güneş batmadan gel gel', 'Beni yalnız bırakma,beni sensiz bırakma..', 'Akşam olmadan güneş batmadan gel gel', 'Beni yalnız bırakma,beni sensiz bırakma..', ' Korkuyorum gecelerin karanlığından', 'Korkuyorum sessizliğin çığlıklarından', 'Böyle yaşamaya alışkın deilim', 'Korkuyorum gelecek yarınlarından..', ' Hastet gelmeden,sabrım bitmeden', '']"
,aksam-olunca-yarelerim-sizlar,"['Akşam olunca yarelerim sızlar', 'Derdim çoktur deymeyin bana kızlar', 'Bu aşkıma şahit olsun yıldızlar ', 'Yeter allahım çektiğim ah yeter ', 'Bu ayrılık bana ölümden beter', 'Yeter allahım çektiğim ah yeter', 'Bu hasretlik bana ölümden beter.....', '']"
,aksam-olur-gizli-gizli-aglarim,"['Akşam olur gizli gizli ağlarım.', 'Kaderin dilinden iyi anlarım.', 'Keder öğütmekle geçti yıllarım.', 'Beni değirmende taşa döndürdün.', ' Nefes alsam bile, ölü gibiyim', 'Aklım başımda yok, deli gibiyim.', 'Suya düşmüş, söğüt dalı gibiyim.', 'Yerim yurdumu düşe döndürdün.', ' Birgün buradayım, birgün orada', 'Gönlümü göçebe kuşa döndürdün.', 'Çok şükür gurbeti bitirdim derken,', 'Yolumu yeniden başa döndürdün.', 'Lanet olsun sana ey! zalim felek,', 'Ömrümü çarkında boşa döndürdün.']"
,al-mendilim,"['Al mendilim sakla benden yadigâr', 'Bir ucuna işle beni çiz beni', 'Ve bir kalp oy paramparça oklanmış', 'Üstünede kondur beni kaz beni', ' Gel hakkını helâl eyle pembelim', 'Gökyüzüne açık her iki elim', 'Benden sana emanettir mendilim', 'Çevresine vefa diye diz beni', ' Al mendilim katmer katmer iz benden', 'Elindeyse soğu benden bez benden', 'Mümkün mü ki ayrıl benden tez benden', 'Mendilime destan diye yaz beni']"
,aldattin-beni,"['Aldattın beni seviyorum diye kalbimi yaktın', 'Günahımı sen çek mihrabımı ellerinle yıktın', 'Çılgınca severken seni aşkımdan nasıl da bıktın', 'Günahımı sen çek mihrabımı ellerinle yıktın', '']"
,aldigim-her-nefesin-birisi-senin,"['aldığım her nefesin birisi senin', 'hasret sarhoşuyum dolaşır dilim', 'gittiğim yolların kenar köşenin', 'attığım her adımın birisi senin', ' paylaşırım seni yalnız seninle', 'gündüzler seninse geceler benim', 'bildiğim bir his var sana içimde', 'yediğim her lokmanın yarısı senin', ' gözlerim karardı sana hasretten', 'saklama gel artık kendini benden', 'ne zarar gördün ki benim sevgimden', 'al iki gözümün birisi senin', ' paylaşamam seni hiçkimselerle', 'üç günlük ömrüme ışık tutansın', 'bir gün gel koşarak kader utansın', 'ömrümün defteri böyle kapansın', '']"
,alfebem-23e-indi,"[""Ben ne yahya kemal'im, ne orhan veli"", ""Ben zeki müren'im.."", 'Zannederim iyi şarkı okumaya çalışırım.', 'Bu benim bir hobim, iddiam yok ama', 'Siz severseniz mutlu olurum', 'Bahtiyar olurum efendim..', ' ""alfabem 23\'e indi', "" Tüm anılarım kaf dağı'nın ardında kaldı"", 'Duygularım bir gece kuşunun gözbebeğinde', 'Yel üfürdü,', 'Sel götürdü.', 'Kor aldı', ""Ne'm varsa bu mor dünyada sevmekten öte."", '']"
